suppression enhancement mitogen response chicken infect marek disease virus herpesvirus	train	18
orientation transcription arginine gene escherichia coli	train	10
influence somatostatin blood pressure plasma renin activity rat	train	12
congenital anaemia type pattern erythrocyte membrane protein reveal two dimensional gel electrophoresis	train	4
hydroxylase hydroxylase activity certain rat chick embryo tissue age relate change activity rat	train	1
disease treat prolong head long term	train	15
lymphocyte therapy acute leukemia child author transl	train	8
virus contain lymphocyte culture cancer patient	train	8
action enzyme light fraction bovine protein polysaccharide	train	3
aerosol inhalation study inhalation ingestion copper zinc particle	train	7
nature beef heart lipid	train	11
inhibition sodium reabsorption kidney dog man acute saline load	train	17
light microscopic ultrastructural study effect oxygen therapy lung	train	7
sympathetic rat organ culture	train	12
calcium bind rabbit skeletal myosin physiological condition	train	9
immunosuppression leukemia virus lack correlation virus replication effect	train	18
impairment memory function acute head injury	train	14
demonstration nuclear antigen lymphocyte method patient	train	8
specificity ribonuclease specie	train	3
chronic lymphocytic leukemia correlation clinical course therapeutic response vitro testing morphology lymphocyte	train	8
metabolism excretion bis hydroxy rat	train	3
experimental encephalitis follow peripheral inoculation virus mouse different age	train	18
endogenous steroid level human prostate birth old age comparison normal tissue	train	1
giant granule syndrome man cattle mouse	train	8
rosette form ability thymus derive lymphocyte humoral cell mediate immunity cell activity	train	18
energy metabolism saccharomyce cerevisiae atp balance metabolic function	train	5
observation prognosis congenital first report reference preoperative evaluation infant author transl	train	14
cartilage collagen fibril	train	16
formation microorganism reduce agent	train	3
anomalous relationship concentration potassium medium membrane potential muscle fiber decrease intracellular potassium concentration rate transport muscle fiber membrane sulfate solution potassium concentration	train	13
nitrate reductase activity mutant escherichia coli	train	10
comparative study age relate change involvement coronary male female subject year age	train	1
basic acid method detect acute myocardial ischemia experimental study swine	train	11
platelet activity isolation platelet factor release wash human platelet dissociation subunit isolation membrane bind activity	train	20
influenza virus chicken erythrocyte	train	4
lipid detection antigen antibody enzyme substrate reaction	train	3
purification property human lung	train	7
phosphate compound bone	train	16
characteristic follow fixation	train	11
chemical compound erythrocyte freeze damage	train	4
change develop behavior follow prenatal administration	train	1
role system thalamus visual orientation cat	train	2
radiation induce cardiomyopathy electron microscopic study cardiac muscle cell	train	11
stimulation insulin cell elongation assembly embryonic chick	train	6
analysis permeability datum case diffusion pathway	train	9
gastric involvement case	train	7
fluorescent spin label probe environment group porcine muscle adenylate kinase	train	19
response visual aspect excitation receptive field simple striate neurone	train	2
evaluation coronary care	train	15
nature adrenoceptor post rat uterus	train	12
electron spin resonance irradiate single crystal	train	20
role renal effect angiotensin hypertension	train	17
deficient mutant escherichia coli deficient three major outer membrane protein	train	10
synthesis simian virus deoxyribonucleic acid cell	train	13
protein relate glycerol phosphate transport system escherichia coli	train	10
fatty acid mycobacterium	train	5
radiation cancer current level exposure	train	15
insulin growth hormone response neonatal	train	6
decrease synthetase activity blood cell patient	train	4
age relate change calcitonin secretion female	train	1
effect reserpine acetylcholine content heart ileum hypothalamus dog	train	11
bacteriophage induce permeability mutant escherichia coli	train	10
cell regulation human peripheral blood cell responsiveness	train	8
effect administration human growth hormone plasma growth hormone cortisol glucose free fatty acid response insulin evidence growth hormone man	train	6
kinetics calcium accumulation acute myocardial ischemic injury	train	11
effect renal nerve renal hemodynamic direct stimulation carotid occlusion	train	17
suppression novel voltage sensitive current vertebrate neurone	train	13
vii escherichia coli	train	10
electron microscope examination urinary interaction influenza virus	train	20
production ultrastructural membrane lesion component complement	train	4
morphologic biochemical study pulmonary change induce mouse	train	7
study normal leukemia leukocyte	train	8
glucose tolerance insulin secretion patient parathyroid disorder effect serum calcium insulin release	train	6
quantitative study peripheral nerve fibre mouse follow administration drug age change mice month age	train	1
caffeine inhibition repair induce dna damage human peripheral lymphocyte	train	8
effect cigarette upon tissue culture cell neoplastic transformation hamster lung tobacco tissue culture	train	7
surgical pulmonary ventricular septal defect	train	11
demonstration bactericidal substance beta hemolytic streptococci fluid staphylococcal culture	train	16
citrate conversion carbohydrate fat regulation fatty acid synthesis rat liver extract	train	20
growth hormone prolactin corticosteroid response insulin hypoglycaemia	train	6
two dimensional chromatography gel load lipid	train	11
enzyme lecithin biosynthesis human neonatal lung	train	7
effect leave ventricular performance coronary dynamic distribution cardiac output conscious dog	train	12
poison review case	train	14
age dependence heat induce strand separation dna situ cell rat brain reveal	train	1
lymphocyte profile leprosy effect treatment	train	8
plasma insulin pancreatic disease	train	6
recombination dimer immunoglobulin peptide chain	train	3
ribonucleic acid synthesis amino acid escherichia coli treatment	train	10
wave propagation fluid tube	train	9
early revascularization follow acute coronary occlusion surgical procedure	train	15
cell wall constituent	train	5
cytotoxic lymphocyte normal donor functional marker human non lymphocyte	train	8
suppression generation human cytotoxic activate peripheral blood lymphocyte	train	8
kinetic renin reaction assay renin	train	9
genetic determination resistance alcohol sodium sulfate escherichia coli	train	10
biosynthesis human platelet	train	20
genetic analysis succinate utilization enzyme mutant phosphoenolpyruvate sugar system escherichia coli	train	10
mouse cytomegalovirus necrosis infect normal gland cell chronic infection	train	8
actinomycin effect immune response	train	4
influence perfusion pressure heart rate local myocardial flow heart chronic coronary occlusion	train	11
anomalous retinal pathway cat substrate normal	train	2
genetic gene among different	train	9
epidemiology hodgkin disease young	train	15
conformation mucopolysaccharide ray fibre diffraction heparin	train	19
chemical modification yeast alanine trna radioactive	train	3
assay serum degradation product agglutination inhibition coat erythrocyte	train	4
contraction smooth muscle taenia coli solution elevate concentration potassium ion	train	13
antiserum immunoglobulin inhibition cell mediate tissue culture	train	8
immune response vitro suppression primary plaque form cell response mouse spleen cell culture class specific antibody mouse immunoglobulin	train	18
immune response adult disease	train	8
comparison various method preparation viral serological antigen infect cell culture	train	7
electrophysiological property nucleus cell synaptic activation	train	2
continuous replication friend virus complex spleen focus form virus lymphatic leukemia induce virus mouse embryo fibroblast retention loss property	train	18
new vitro test mediate hypersensitivity man	train	16
control inhibition morphogenesis	train	5
glutathione dependent metabolism alveolar macrophage	train	5
mechanism antibodie inhibit hapten malate dehydrogenase enzyme morphine	train	9
lymphocyte stimulation selective destruction cell response transplantation antigen	train	8
molecular relationship antigen determine antigen method	train	18
conversion biotin biotin lactobacillus	train	20
effect drug electrical stimulation rabbit large intestine	train	12
variability relative stimulus orientation movement unit cat visual cortex area	train	2
prediction response chemotherapy acute leukemia	train	14
effect general stress flight training	train	12
lymphocyte sensitization nervous tissue muscle patient syndrome	train	8
general rat bear avian sarcoma virus induce intracranial tumor	train	18
beta adenine synthesis evaluation number acyl derivative	train	3
hepatic adenylate cyclase system iii mathematical model steady state kinetic nucleotide regulation	train	9
isolation bacteriophage lambda carry gene arabinose operon escherichia coli	train	10
hemoglobin delta chain variant alpha delta	train	3
biologically active metabolite vitamin bone liver blood serum	train	3
effect cell wall formation saccharomyce cerevisiae relation cell growth inhibition	train	5
incidence skin carcinoma renal transplantation	train	15
interaction noradrenergic mechanism central regulation blood pressure rat study use experimental central hypertension produce chemical lesion locus	train	12
vitro stem cell capacity marrow spleen cell mouse infect rauscher leukemia virus	train	18
year analysis cancer female breast author transl	train	14
kinetic study root	train	9
enhancement hypothalamic pressor response spontaneously hypertensive rat	train	12
problem internal mammary chain author transl	train	14
protein serum chick specie partial purification characterization chick protein	train	19
non hodgkin lymphoma child improve prognosis multiple drug combination irradiation author transl	train	14
biotin uptake cold cell cell saccharomyce cerevisiae lack feedback control	train	5
improve prognosis sarcoma combine irradiation chemotherapy author transl	train	14
effect type carbohydrate amino acid accumulation utilization	train	5
difference derivative technique measure state change phenylalanine residue protein	train	6
respiratory function liver cirrhosis blood gas analysis study	train	7
influence age weight bone content lumbar	train	1
difference utilization glycerol glucose mycobacterium	train	5
partial resolution adenosine synthesis	train	3
ribonuclease activity plasma spleen thymus tumor bear mouse	train	18
