detect number oracle row update oci call	train	2
append already exist string	train	10
linq xml equivalent	train	18
name field label different haskell	train	19
check subversion repository use protocol	train	3
share spring security configuration application	train	11
form element different group box	train	16
wordpress custom admin page checkbox	train	1
drupal module form style behaviour	train	17
implicit type parameter haskell class definition	train	19
handle code sharepoint environment	train	14
extender lose data postback	train	15
redirect another file apache	train	4
wordpress widget redirect page	train	1
sharepoint list dropdown use linq	train	18
wcf client sharepoint web service	train	14
include debug build library mac sdk	train	9
another simple haskell question	train	19
problem jdbc set	train	12
load hibernate property external source hashmap	train	12
spring handle multiple form submit one controller	train	11
matlab compare element two array	train	6
error wordpress show late post	train	1
unable build snow leopard	train	16
collection xml tag stre linq	train	18
maximum password length subversion	train	3
prevent render get form	train	17
report text case	train	7
understand module must configure httpd conf apache	train	4
spring jdbctemplate datasource require	train	11
error instal apache	train	4
track ajax request use google	train	15
excel sheet column value	train	5
clean document role doc library	train	14
datetime field weird hex format	train	14
format input vector input datum matlab	train	6
sharepoint calculate field function reference	train	14
receive notification filesystem change	train	9
drupal htaccess rewrite specific url	train	17
font size disable	train	16
hibernate hql problem use case keyword	train	12
spring security openid unable process identity null	train	11
use hibernate tomcat connection pool time	train	12
use input list haskell	train	19
stream live video web site	train	9
version svn working copy	train	3
insert good way bulk insert oracle	train	2
well store svn	train	3
checkbox outline view check one click	train	8
svn make old revision head revision	train	3
visual studio keep color code format	train	7
way initialize bash array value function output	train	10
change icon focus	train	16
programatically log sharepoint	train	14
count matlab programming language	train	6
file allow modify sharepoint	train	14
block search every site apache web server	train	4
make category image link	train	20
version control file	train	7
not define new type ghci	train	19
haskell read type	train	19
define inverse cascade delete many one mapping hibernate	train	12
disable hibernate auto update flush read	train	12
enable mac firefox	train	9
find wordpress class	train	1
code pattern matching block scala	train	13
sharepoint search property	train	14
top level widget keyboard mouse event	train	16
get real title sharepoint list	train	14
problem nest ajax form firefox	train	15
hiding page break excel	train	5
apache deploy new site server	train	4
magento custom module admin permission	train	20
count row lift scala web framework	train	13
menu app status bar will not work snow leopard	train	9
search revision file subversion repository	train	3
make game excel	train	5
matlab float point	train	6
matlab axes label text object	train	6
add wordpress widget dashboard use php class	train	1
intercept page request behind return content php apache	train	4
hibernate always use server timestamp	train	12
write application scala actor practice	train	13
building sharepoint different asp net	train	14
force button click scala	train	13
resource learn block snow leopard	train	8
possible develop sharepoint use integration technique	train	14
qwidget always return	train	16
apache cgi redirect absolute uri not work	train	4
problem bit oracle client flag database connection	train	2
develop google mac	train	9
problem haskell number type	train	19
possible product category magento	train	20
magento email default	train	20
drawing program store custom datum pdf	train	9
good way debug visual studio designer error	train	7
stop custom submit button firing form validation cck form	train	17
editor contain main type	train	13
explicit call scala method allow resolve	train	13
apache use cpu	train	4
update progress show image datum database need block screen	train	15
configure apache use python like cgi php	train	4
use linux parse section variable different	train	10
set initial size	train	16
core data strange binding error document help	train	8
convert int int lazy bytestre	train	19
ajax look server update javascript	train	15
upload file directly progress bar	train	15
not scala type parameter example	train	13
haskell question wrong append function	train	19
apache multiple log file	train	4
optimize sharepoint search	train	14
qwebview load external css	train	16
delete file keep directory bash script	train	10
web application folder text file client	train	15
blog create feature	train	20
resultset logic select table without join	train	2
theme cck node drupal	train	17
use custom core animation	train	8
bug linq contain statement fix	train	18
mvc ajax form submit button ajax call	train	15
sort object base double value	train	13
what good way get multiple instance application run apache tomcat	train	4
move visual studio window	train	7
single linq query complex datum structure int	train	18
use restrict access static file html css etc	train	4
wordpress know pagination active	train	1
list repository directive	train	3
asp net add javascript method possible	train	15
project level store visual studio	train	7
scala anything like development mode	train	13
use breakpoint try catch statement creator	train	16
sharepoint solution package deploy random	train	14
mutable list array structure bash easily append	train	10
osx app crash error log	train	9
use spring xml configuration set bean property list bean certain type	train	11
apache process count configuration	train	4
expression tree linq get value parameter	train	18
share net database sharepoint	train	14
deal saving attribute relate object yet create via ajax	train	15
excel format question default line color	train	5
connect spring hibernate base application backend pure html ajax base client	train	11
haskell mean typeclas typeclass num	train	19
hibernate annotation aspectj attribute name hql	train	12
fire sharepoint workflow updating list item list webservice	train	14
not odp net deployment work machine oracle instal	train	2
svn keep large repository	train	3
connect mysql database use oracle sql developer	train	2
perform bulk category import magento	train	20
change version build binary	train	7
bind asp net ajax	train	15
svn set property directory	train	3
can not find error php code	train	17
apache configure use unix domain	train	4
haskell look second value tuple list base first value	train	19
get source invalid type bind linq query gridview	train	18
wordpress get multiple category url	train	1
wordpress hook post update	train	1
get min linq dataset query	train	18
theme form api button drupal	train	17
session terminate key	train	9
drupal page optimization question well	train	17
orm asp net oracle look solution	train	2
map list string annotation	train	12
make certain text style	train	1
real time video capture	train	16
prevent oracle statement remove duplicate	train	2
excel highlight active row	train	5
hibernate take throw exception database	train	12
datum type support visual studio	train	18
whole directory tortoise svn	train	3
explain structure apache server	train	4
migrate content management sharepoint	train	14
use spring instead jpa	train	11
wordpress search engine url permalink implementation	train	1
escape character bash	train	10
nhibernate hql sql server	train	12
integrate several drupal site	train	17
resolve svn binary conflict	train	3
application need download start develop app use spring framework	train	11
import excel file oracle	train	2
url like good idea	train	4
magento dynamic module edit entry form	train	20
oracle use update multiple node document	train	2
need follow method name	train	13
understand mod proxy apache writing	train	4
svn update multiple file	train	3
way button menus	train	16
exist linq extension method similar	train	18
background cell model	train	16
allow user request access particular document sharepoint	train	14
visual studio hosting process operation could complete	train	7
sql api difference oracle express edition standard edition	train	2
leave join table unidirectional many one hibernate	train	12
remove file directory path	train	8
instal debug version mac osx	train	16
remove duplicate list specify equality function	train	13
keep wordpress format lead space	train	1
get wordpress author username	train	1
apache give error fastcgi virtualhost	train	4
change file save location	train	8
get user sharepoint	train	14
hibernate versioning update reason	train	12
drupal specify browser	train	17
tomcat read event	train	15
hibernate transaction successfully start thread webapp problem	train	12
howto visual studio toolbox initialization	train	7
show window without focus	train	16
use htaccess mod rewrite directory root	train	4
way full text search oracle package procedure	train	2
run socket server cocoa	train	9
matlab convert two array matrix	train	6
someone explain scala	train	13
scala abstract type bound cross referencing	train	13
oracle user right another user object	train	2
url support macosx	train	4
linq sql nullable type clause	train	18
use shortcut key visual studio	train	7
unique element haskell list	train	19
name asp net web application directory structure	train	7
linq query item one query source another one	train	18
custom field type derive	train	14
programmatically comment single item order magento	train	20
default value generic datum structure	train	13
query delete post old day wordpress	train	1
visual studio tip get header use give project	train	7
use switch compile code	train	7
use oracle sql plot actual date schedule information	train	2
leopard specify even specify	train	9
call jdbc application actually kill oracle database	train	2
hide launch service	train	9
wordpress thumbnail creation question	train	1
jpa hibernate fetch ignore	train	12
osx python system framework	train	9
spring tomcat security annotation	train	11
htaccess mod rewrite	train	4
subversion keyword substitution	train	3
use application access bit sharepoint	train	14
use hibernate criterion way escape special character	train	12
multiple command alias bash	train	10
move wordpress home web server web server host account	train	1
convert string excel date	train	5
tool would suitable cabal haskell package	train	19
inline editing ajax create multiple editable page	train	15
cocoa binding custom method	train	8
need help order linq result	train	18
javascript link drupal view	train	17
ajax testing add delay	train	15
iterate function result haskell	train	19
use signal multiple parameter	train	16
hibernate hql query set collection name parameter query	train	12
use group break magento	train	20
require use drupal	train	17
asp net framework effect move	train	7
find install script run mac linux machine	train	10
cause error excel vba	train	5
make spring load jpa class multiple path	train	11
connect matlab engine linux	train	6
limit total number certain type nod user may create drupal role	train	17
develop software mac osx	train	9
haskell type class type	train	19
launch script macos dock	train	9
bash command create directory	train	9
spring design start	train	11
scala abstract method question list	train	13
warning ignore dll import attribute	train	16
prevent order certain product category specific country	train	20
qtablewidget change text color select row	train	16
find much svn use	train	3
excel use asp net	train	5
cocoa fast enumeration	train	9
combine clause group linq	train	18
drupal performance user	train	17
map database collection element	train	12
scale item view	train	16
anybody gui scala	train	13
receive window resource warn open figure window matlab beyond microsoft window	train	6
affect debug app use	train	7
instal oracle odp net microsoft windows server bit	train	2
ajax login use	train	15
use applescript hide text field	train	9
create hyperlink spring jsp	train	11
check bash process one child actually something	train	10
hibernate session transaction	train	12
sharepoint right platform large application	train	14
example cocoa objective distribute object	train	8
automatic tracking build number	train	7
function two way	train	13
ajax popup cause screen use asp net	train	15
submit wordpress form programmatically	train	1
tell hook hook run batch mode	train	17
disable apache response tomcat	train	4
redirect query string domain name apache	train	4
find block code look magento	train	20
get index element matrix	train	6
magento load category work	train	20
filter blog post author	train	1
scala not allow execute batch file whose path contain java code give	train	13
build site hierarchical content use custom design	train	1
subversion merge problem yet	train	3
intellisense visual studio text file	train	7
access specific large cocoa	train	8
ref attribute spring bean declaration	train	11
add property ienumerable group use linq	train	18
unique functional index oracle	train	2
sharepoint programmatically manage permission	train	14
python qtextedit display input	train	16
public source code repository mac client	train	9
drupal open node body new window	train	17
jquery conflict plug content scroll	train	1
wordpress upload localhost server	train	1
first column matrix give list row haskell	train	19
many type stre bytestre	train	19
symbolic link bash	train	10
execute callback another function matlab	train	6
sql server search problem affect sharepoint search	train	14
unable get field list use sharepoint web service	train	14
implement method haskell	train	19
run stsadm asp net	train	14
htaccess file cause internal server error	train	4
define return type function linq	train	18
drupal get user name user account page without break performance	train	17
wordpress dynamic comment work	train	1
sharepoint problem saving file exist file document library	train	14
mac fast text editor format color change background	train	9
hibernate group time interval	train	12
get cabal work ghc	train	19
svn create tag problem	train	3
designing web service ajax	train	15
use map receive index well scala	train	13
good way write wrapper function run command log exit code	train	10
cocoa proper way handle overlap nsview	train	8
code mac terminal	train	9
magento paypal currency error	train	20
magento get product	train	20
web application integration drupal	train	17
internet explorer ajax link load	train	15
ajax request result form submit	train	15
htaccess apache work case	train	4
ajax function populate field form	train	15
see label color within mac	train	9
applescript particular application	train	9
get version number build time	train	19
svn command entity large	train	3
refactore plug visual studio	train	7
change access deny message magento	train	20
magento remove black background automatic	train	20
symbol case class send message scala actor	train	13
breakpoint visual studio	train	7
count wildcard character use excel	train	5
make sub string selection excel	train	5
nsview frame method return wrong result	train	8
oracle convert hex decimal oracle sql	train	2
wordpress post mail tag plugin	train	1
oracle resultset value accord row ignore	train	2
matlab command export	train	6
excel populate list via	train	5
resize nstextfield fit text	train	8
favorite hide package	train	19
delete empty cell matlab	train	6
oracle variable number parameter store procedure	train	2
way programatically enable widget plugin wordpress	train	1
html snippets json	train	15
localhost work break safari	train	9
exist statement sql linq	train	18
check error spring security	train	11
linq find check checkboxes gridview	train	18
set game matlab	train	6
good book magento	train	20
hibernate mapping splitting file	train	12
wordpress get php variable page sidebar	train	1
dll work window desktop search sharepoint	train	14
wordpress contact form send button submit redirect page jquery anchor navigation	train	1
symbolic function handle	train	6
good branching integration	train	3
spring propertyplaceholderconfigurer property jar file	train	11
excel start macro	train	5
apache urls mod rewrite also catch case	train	4
applescript result cocoa	train	9
selector not work	train	8
haskell compiler error scope	train	19
drupal development programming practice	train	17
good index use visual studio code analysis	train	7
warn visual studio	train	7
define search scope display group site definition	train	14
make folder redirect use htaccess rule	train	4
drupal automate content form submission	train	17
create text file excel row group together	train	5
linq entity property	train	18
properly remove svn external replace local copy directory	train	3
access magento user session outside magento	train	20
several single svn server	train	3
detect run sharepoint	train	14
matlab understand java int datatype	train	6
matlab mex interface class object multiple function	train	6
distribute binary library osx	train	9
add dynamically anonymous user	train	11
performance heavy concurrency oracle table	train	2
facebook update post wordpress blog	train	1
sharepoint full name	train	14
bash run command script	train	10
hql order give problem	train	12
run word sharepoint workflow	train	14
hibernate lock lazy onetoone	train	12
test view visual studio	train	7
good scala snippet	train	13
net winform drop user control onto form	train	7
rss feed wordpress blog	train	1
put ruby program mac opening terminal	train	9
navigate another page use event	train	16
use ref cursor input type odp net	train	2
get spring inject entitymanager	train	11
hibernate update sum table	train	12
excel change date format	train	5
find oracle table update last time	train	2
scala trunk build	train	13
add custom image cart magento	train	20
selection ubercart checkout menu	train	17
associate many exist file drupal	train	17
dot operator haskell need explanation	train	19
implementation http streaming push ajax pattern	train	15
send email attachment signature excel	train	5
possible make order via use magento	train	20
line certain amount character visual studio	train	7
support long running operation use moss publishing	train	14
apache django session development	train	4
good way log another user session mac leopard	train	9
find class element type	train	13
place query show one post wordpress	train	1
stop apache inject find page custom error page	train	4
tutorial develop web service apache axi	train	4
server excel service excel web access	train	14
efficient way make page sql server	train	18
magento payment method enable admin	train	20
moss alternate access mapping	train	14
mix use oracle join	train	2
difference svn server http server	train	3
good way synchronize multiple excel file access table	train	5
parse recursive structure scala	train	13
file directory mysql install	train	9
short way make many bean one bean	train	11
drupal book layout menu add primary menu	train	17
core animation window effect	train	8
design float tool bar	train	16
use svn branch tag trunk	train	3
linq orderby specific value	train	18
configure apache map file call	train	4
spring redirect post even validation error	train	11
example parse json output haskell	train	19
one many relationship	train	2
user show sharepoint	train	14
safe way scala list list	train	13
protect excel file java	train	5
loading property spring via system property	train	11
set schema name use hibernate entity query time	train	12
match overlap pattern capture use matlab regular expression	train	6
visual studio processor compatibility	train	7
create interface builder plug custom view	train	9
get central dispatch work snow leopard	train	9
access dynamically create store procedure linq	train	18
search value exist list object use linq	train	18
initialize nsmutablearray nsmutablearray array	train	8
matlab image corner coordinate cell array	train	6
get start build mac application	train	9
set calculate value base calculate value	train	8
spring hibernate delete entity	train	11
get min max excel depend another column	train	5
looking web host handle haskell	train	19
linq invalid expression term	train	18
strange behavior scala actor	train	13
cvs svn conversion replace cvs tag	train	3
bash mac edit file command	train	10
linq performance defer immediate execution	train	18
asp net gridview sort linq result	train	18
good way flag element matlab use something else	train	6
sort lines command line tool	train	10
wordpress base path hook	train	1
not read variable store within loop loop	train	10
magento multiple tax rate	train	20
return scala java	train	13
find subversion binary	train	3
ajax make browser load	train	15
bug sharepoint internal name moss	train	14
spring configurable sometimes work sometimes	train	11
svn resolve multiple file use	train	9
two server setup online store magento	train	20
make qmake compile multiple cross platform binary	train	16
count number file generate split command	train	10
would database developer use linq	train	18
linq sql table storage sql datum service	train	18
get intellisense code visual studio	train	7
drupal format email message use node module	train	17
excel vba row code speed	train	5
helper know whether property load hibernate	train	12
remove installation mysql mac	train	9
spring aop resolve	train	11
apply two function onto string without use	train	19
create link configurable item magento	train	20
implement button bar cocoa	train	8
good way report error sharepoint workflow	train	14
problem matlab memory	train	6
inject single property value string use spring	train	11
parse cut paste excel	train	5
select random sample result oracle query	train	2
base ajax framework	train	15
spring mvc parse html	train	11
write conditional expression	train	14
want make functionality magento admin panel admin upload video	train	20
search term text visual studio	train	7
save file visual studio project utf	train	7
excel number format	train	5
website log user automatically session	train	15
copy datum another workbook excel	train	5
print stack trace cocoa	train	8
back last state ajax page	train	15
mac browsers mac dead	train	9
howto drupal file upload form	train	17
get window receive drag drop file xcode	train	9
magento include javascript file page page	train	20
display error message matlab	train	6
network cause store procedure query across link	train	2
not element element work	train	18
limit return record sql query oracle	train	2
search field table specific value oracle	train	2
easy way access macros code	train	7
add additional language use	train	9
operation could runtime simple linq query	train	18
update share host	train	17
get html editor default single quote	train	7
problem haskell someone error	train	19
create image nav button wordpress	train	1
oracle call sql issue within file may function	train	2
easy way automate task	train	5
hibernate save strange behaviour	train	12
get row sql table match dictionary use linq	train	18
form drupal similar contact form	train	17
understand haskell output	train	19
possible pivot datum use linq	train	18
apache include header fail http basic auth	train	4
drupal email user task due day	train	17
event visual studio deployment project	train	7
mac shortcuts ubuntu linux	train	9
type variable error	train	19
list within sharepoint site without use sharepoint api	train	14
framework put application bundle put multiple application one bundle	train	8
would make status item show hide window click	train	8
turn line number default mac	train	9
compile share library ubuntu	train	16
check matlab vector contain zero	train	6
one java spring book start	train	11
design state haskell	train	19
enter key cocoa dialog	train	8
drupal remove file node server	train	17
remove final bash script argument	train	10
monad bind function question	train	19
hibernate mapping relationship	train	12
sharepoint site security monitor change	train	14
complex layout mvc framework	train	15
know web page load use qtwebkit	train	16
exception generate call	train	16
install visual studio express	train	7
import date format	train	2
make nsoutlineview button	train	8
haskell enough develop web application	train	19
cocoa return information	train	8
read text file matlab line line	train	6
draw image matlab please help	train	6
wordpress one category time	train	1
change source file encode project visual studio msbuild machine	train	7
add two time excel	train	5
svn command line eclipse	train	3
svn get file revision	train	3
solve problem use deprecate function php drupal	train	17
create haskell instance	train	19
order slot call qobject	train	16
parse host name underscore	train	16
need help set web service proxy dynamically without build	train	7
convert binary original array value matlab	train	6
correct way write haskell foldr function	train	19
jvm crash try connect oracle use oci	train	2
apache set require setting per	train	4
work zero date hibernate	train	12
image drawing library haskell	train	19
look wordpress software project	train	1
visual studio add call	train	7
store dependency program test item	train	3
multiple spring configuration file	train	11
oracle oracle client work server	train	2
visual studio default browser instead	train	7
enable management content type sharepoint list via web service	train	14
matlab elegant way delete element matrix	train	6
want use matlab function via use way	train	6
combine scala possible	train	13
bash easy way put configurable load system	train	10
excel add function description argument help	train	5
ajax request different host	train	15
anything make help load fast visual studio	train	7
make complete inline show popup	train	16
hibernate persist blob printing log message	train	12
show keyboard shortcut menu disable	train	16
excel create macro find duplicate highlight	train	5
save entire desktop state	train	9
set native hibernate	train	12
magento add link footer top menu	train	20
excel use cell value parameter sql query	train	5
blog entry wordpress theme development	train	1
ajax not get	train	15
visual installer dependency	train	7
concrete class abstract type member	train	13
method sql text xml text	train	2
program use bash	train	10
event excel vba code execution	train	5
scala mutable immutable object performance	train	13
linq sequence contain element error want check null	train	18
scala dynamically instantiate object method use reflection	train	13
scala make run jvm	train	13
change text color	train	16
simulink data type conversion block altering datum	train	6
new line character get submit differently	train	15
way scala convert map	train	13
advantage add spring flex	train	11
look document library item sharepoint workflow	train	14
associate node product	train	17
need write program configure login shell	train	10
automatically insert comment block new header file visual studio	train	7
possible change location login	train	1
scala equivalent ruby	train	13
tell system preference	train	9
drupal display language content	train	17
way get sharepoint stop convert attachment file name case email	train	14
add custom template add new item dialog	train	7
look software build php scripts mac	train	9
spring aop get annotation method	train	11
bash script pass stdin input program give control back user input	train	10
create visual studio package	train	7
install apache portable runtime	train	4
default scale number oracle	train	2
capture audio input haskell	train	19
memory haskell datum type	train	19
magento list product multiple select attribute	train	20
excel show total base date entry	train	5
idea implement magento order approval process	train	20
custom url rewrite wordpress	train	1
macro wrap select tag visual studio	train	7
multiple website share order increment sequence	train	20
redirect one wordpress install another subdirectory domain	train	1
one use drupal website ubercart	train	17
bash script shell input	train	10
source install apache php snow leopard	train	4
embed excel document browser navigate worksheet	train	5
excel vsto addin run machine	train	5
good practice advice drupal	train	17
add cart link number item sidebar magento	train	20
htaccess access specific file one	train	4
generate source code haskell objective	train	19
require anonymous user register add	train	17
run custom code login	train	14
create mac framework	train	9
matlab display markup html format	train	6
hibernate retrieve row join	train	12
mod rewrite cause apache crash directive	train	4
add debug breakpoint line display find result window	train	7
drupal permission base relate node field	train	17
enumeration value type method signature	train	13
common file visual studio solution	train	7
signal via applescript mac	train	9
get kind error try use	train	19
use git external subversion	train	3
set line display	train	16
organize php ajax mvc site	train	15
drupal expose date filter remove select	train	17
bash number work case	train	10
back button functionality webpage form search result ajax asp net	train	15
develop sharepoint web part asp net	train	14
hibernate cascade deletion example	train	12
bash file attribute easily get file full path privilege	train	10
register multiple one spring application	train	11
setup hashmap append query string	train	11
visual studio addin find current solution folder path	train	7
wordpress post date change update	train	1
sharepoint url server attribute	train	14
get event button	train	16
create folder use file name move file folder	train	10
run query execute immediate cause fail	train	2
file mod deflate apache	train	4
version control system use time machine	train	9
create map scala	train	13
matlab good use well python	train	6
apache error log file exist	train	4
visual studio memory usage	train	7
find whether item contain within tree	train	19
unable server computer	train	10
wordpress loop unique loop slightly wrong result	train	1
definition visual studio metadata	train	7
possible functionality use ajax	train	15
turn matlab binary matrix vector last index fast	train	6
mix regular expression conditional expression bash statement	train	10
tell wordpress reset post image size set width	train	1
efficient way visualstudio	train	7
enterprise search fast	train	14
explain plan query store procedure	train	2
map virtual directory another web server apache	train	4
core javascript function make error warning message appear	train	17
request handling method spring	train	11
apache alternatives php header function	train	4
visual studio hang test run	train	7
good export native datum excel without dependency office	train	5
fetch category detail query magento	train	20
recommend book resource learn matlab	train	6
code build binary	train	3
search file next level mac root	train	8
svn path exist revision	train	3
sharepoint sql query find list document site collection	train	14
change wordpress link post page	train	1
matlab divide matrix element column	train	6
request get forbid browser apache server	train	4
show long number	train	5
good design wordpress theme need advice	train	1
open input file	train	16
excel vba cast object	train	5
change column oracle foreign key constraint	train	2
hql query different	train	12
drupal display title node within block	train	17
oracle public become invalid table	train	2
correct way handle input string	train	16
